TEST_ID,QUESTION,CATEGORY,GENERATED_CYPHER,EXEC_SUCCESS,ERROR,ACTUAL_RESULT,FORMATTED_ACTUAL_QUERY_RESULT
UU_19_2016_E2E_V3_001,"Mau nanya dong, UU Nomor 19 Tahun 2016 itu mengatur tentang apa ya?",Regulasi,"MATCH (p:Pasal) WHERE p.source_document_id = 'UU_19_2016' OPTIONAL MATCH (p)-[:MEMILIKI_AYAT]->(a:Ayat) OPTIONAL MATCH (p)-[:MENGATUR]->(ph_p:PerbuatanHukum) OPTIONAL MATCH (a)-[:MENGATUR]->(ph_a:PerbuatanHukum) RETURN p.label AS pasal, a.label AS ayat, COALESCE(ph_p.label, ph_a.label) AS perbuatan_hukum_label, COALESCE(ph_p.content, ph_a.content) AS perbuatan_hukum_detail, p.source_document_id AS regulasi ORDER BY p.label, a.label LIMIT 100",True,,"[{""pasal"": ""Pasal 1"", ""ayat"": null, ""perbuatan_hukum_label"": null, ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 26"", ""ayat"": ""Pasal 26 ayat (1)"", ""perbuatan_hukum_label"": ""menggunakan informasi melalui media elektronik yang menyangkut data pribadi seseorang atas persetujuan Orang yang bersangkutan"", ""perbuatan_hukum_detail"": """", ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 26"", ""ayat"": ""Pasal 26 ayat (2)"", ""perbuatan_hukum_label"": ""mengajukan gugatan atas kerugian yang ditimbulkan"", ""perbuatan_hukum_detail"": """", ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 26"", ""ayat"": ""Pasal 26 ayat (3)"", ""perbuatan_hukum_label"": ""menghapus Informasi Elektronik dan/atau Dokumen Elektronik yang tidak relevan yang berada di bawah kendalinya"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 26"", ""ayat"": ""Pasal 26 ayat (4)"", ""perbuatan_hukum_label"": ""menyediakan mekanisme penghapusan Informasi Elektronik dan/atau Dokumen Elektronik yang sudah tidak relevan sesuai dengan ketentuan peraturan perundang-undangan"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 26"", ""ayat"": ""Pasal 26 ayat (5)"", ""perbuatan_hukum_label"": null, ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 27"", ""ayat"": null, ""perbuatan_hukum_label"": null, ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 31"", ""ayat"": ""Pasal 31 ayat (1)"", ""perbuatan_hukum_label"": ""melakukan intersepsi atau penyadapan atas Informasi Elektronik dan/atau Dokumen Elektronik dalam suatu Komputer dan/atau Sistem Elektronik tertentu milik Orang lain"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 31"", ""ayat"": ""Pasal 31 ayat (2)"", ""perbuatan_hukum_label"": ""melakukan intersepsi atas transmisi Informasi Elektronik dan/atau Dokumen Elektronik yang tidak bersifat publik dari, ke, dan di dalam suatu Komputer dan/atau Sistem Elektronik tertentu milik Orang lain"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 31"", ""ayat"": ""Pasal 31 ayat (3)"", ""perbuatan_hukum_label"": null, ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 31"", ""ayat"": ""Pasal 31 ayat (4)"", ""perbuatan_hukum_label"": null, ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 40"", ""ayat"": ""Pasal 40 ayat (1)"", ""perbuatan_hukum_label"": ""Fasilitasi pemanfaatan Teknologi Informasi"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 40"", ""ayat"": ""Pasal 40 ayat (2)"", ""perbuatan_hukum_label"": ""melindungi kepentingan umum dari segala jenis gangguan sebagai akibat penyalahgunaan Informasi Elektronik dan Transaksi Elektronik yang mengganggu ketertiban umum"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 40"", ""ayat"": ""Pasal 40 ayat (2a)"", ""perbuatan_hukum_label"": ""melakukan pencegahan penyebarluasan dan penggunaan Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan yang dilarang"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 40"", ""ayat"": ""Pasal 40 ayat (2b)"", ""perbuatan_hukum_label"": ""melakukan pemutusan akses dan/atau memerintahkan kepada Penyelenggara Sistem Elektronik untuk melakukan pemutusan akses terhadap Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan yang melanggar hukum"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 40"", ""ayat"": ""Pasal 40 ayat (3)"", ""perbuatan_hukum_label"": ""menetapkan instansi atau institusi yang memiliki data elektronik strategis yang wajib dilindungi"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 40"", ""ayat"": ""Pasal 40 ayat (4)"", ""perbuatan_hukum_label"": ""membuat Dokumen Elektronik dan rekam cadang elektroniknya serta menghubungkannya ke pusat data tertentu untuk kepentingan pengamanan data"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 40"", ""ayat"": ""Pasal 40 ayat (5)"", ""perbuatan_hukum_label"": ""membuat Dokumen Elektronik dan rekam cadang elektroniknya sesuai dengan keperluan perlindungan data yang dimilikinya"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 40"", ""ayat"": ""Pasal 40 ayat (6)"", ""perbuatan_hukum_label"": ""Ketentuan lebih lanjut mengenai peran Pemerintah diatur dengan Peraturan Pemerintah"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 43"", ""ayat"": ""Pasal 43 ayat (1)"", ""perbuatan_hukum_label"": ""diberi wewenang khusus sebagai penyidik untuk melakukan penyidikan tindak pidana di bidang Teknologi Informasi dan Transaksi Elektronik"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 43"", ""ayat"": ""Pasal 43 ayat (2)"", ""perbuatan_hukum_label"": ""melakukan penyidikan dengan memperhatikan perlindungan terhadap privasi, kerahasiaan, kelancaran layanan publik, integritas data, atau keutuhan data"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 43"", ""ayat"": ""Pasal 43 ayat (3)"", ""perbuatan_hukum_label"": ""melakukan penggeledahan dan/atau penyitaan terhadap sistem elektronik yang terkait dengan dugaan tindak pidana sesuai dengan ketentuan hukum acara pidana"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 43"", ""ayat"": ""Pasal 43 ayat (4)"", ""perbuatan_hukum_label"": ""wajib menjaga terpeliharanya kepentingan pelayanan umum dalam melakukan penggeledahan dan/atau penyitaan"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 43"", ""ayat"": ""Pasal 43 ayat (5)"", ""perbuatan_hukum_label"": ""melakukan wewenang penyidikan PPNS yang meliputi menerima laporan, memanggil pihak, memeriksa sarana, meminta bantuan ahli, dan meminta informasi kepada PSE"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 43"", ""ayat"": ""Pasal 43 ayat (6)"", ""perbuatan_hukum_label"": ""melakukan penangkapan dan penahanan terhadap pelaku tindak pidana di bidang Teknologi Informasi dan Transaksi Elektronik sesuai dengan ketentuan hukum acara pidana"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 43"", ""ayat"": ""Pasal 43 ayat (7)"", ""perbuatan_hukum_label"": ""berkoordinasi dengan Penyidik Pejabat Polisi Negara Republik Indonesia memberitahukan dimulainya penyidikan kepada Penuntut Umum melalui Penyidik Polisi"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 43"", ""ayat"": ""Pasal 43 ayat (7a)"", ""perbuatan_hukum_label"": ""menyampaikan hasil penyidikan kepada Penuntut Umum melalui Penyidik Pejabat Polisi Negara Republik Indonesia"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 43"", ""ayat"": ""Pasal 43 ayat (8)"", ""perbuatan_hukum_label"": ""dapat bekerja sama dengan penyidik negara lain untuk berbagi informasi dan alat bukti sesuai dengan ketentuan peraturan perundang-undangan"", ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 45"", ""ayat"": ""Pasal 45 ayat (1)"", ""perbuatan_hukum_label"": ""mendistribusikan dan/atau mentransmisikan dan/atau membuat dapat diaksesnya Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan yang melanggar kesusilaan"", ""perbuatan_hukum_detail"": """", ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 45"", ""ayat"": ""Pasal 45 ayat (2)"", ""perbuatan_hukum_label"": ""mendistribusikan dan/atau mentransmisikan dan/atau membuat dapat diaksesnya Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan perjudian"", ""perbuatan_hukum_detail"": """", ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 45"", ""ayat"": ""Pasal 45 ayat (3)"", ""perbuatan_hukum_label"": ""mendistribusikan dan/atau mentransmisikan dan/atau membuat dapat diaksesnya Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan penghinaan dan/atau pencemaran nama baik"", ""perbuatan_hukum_detail"": """", ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 45"", ""ayat"": ""Pasal 45 ayat (4)"", ""perbuatan_hukum_label"": ""mendistribusikan dan/atau mentransmisikan dan/atau membuat dapat diaksesnya Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan pemerasan dan/atau pengancaman"", ""perbuatan_hukum_detail"": """", ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 45"", ""ayat"": ""Pasal 45 ayat (5)"", ""perbuatan_hukum_label"": null, ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 45A"", ""ayat"": ""Pasal 45A ayat (1)"", ""perbuatan_hukum_label"": ""menyebarkan berita bohong dan menyesatkan yang mengakibatkan kerugian konsumen dalam Transaksi Elektronik"", ""perbuatan_hukum_detail"": """", ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 45A"", ""ayat"": ""Pasal 45A ayat (2)"", ""perbuatan_hukum_label"": ""menyebarkan informasi yang ditujukan untuk menimbulkan rasa kebencian atau permusuhan individu dan/atau kelompok masyarakat tertentu berdasarkan atas suku, agama, ras, dan antargolongan (SARA)"", ""perbuatan_hukum_detail"": """", ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 45B"", ""ayat"": null, ""perbuatan_hukum_label"": ""mengirimkan Informasi Elektronik dan/atau Dokumen Elektronik yang berisi ancaman kekerasan atau menakut-nakuti yang ditujukan secara pribadi"", ""perbuatan_hukum_detail"": ""mengirimkan Informasi Elektronik dan/atau Dokumen Elektronik yang berisi ancaman kekerasan atau menakut-nakuti yang ditujukan secara pribadi"", ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal 5"", ""ayat"": null, ""perbuatan_hukum_label"": null, ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}, {""pasal"": ""Pasal II"", ""ayat"": null, ""perbuatan_hukum_label"": null, ""perbuatan_hukum_detail"": null, ""regulasi"": ""UU_19_2016""}]","[
  {
    ""pasal"": ""Pasal 1"",
    ""ayat"": null,
    ""perbuatan_hukum_label"": null,
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 26"",
    ""ayat"": ""Pasal 26 ayat (1)"",
    ""perbuatan_hukum_label"": ""menggunakan informasi melalui media elektronik yang menyangkut data pribadi seseorang atas persetujuan Orang yang bersangkutan"",
    ""perbuatan_hukum_detail"": """",
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 26"",
    ""ayat"": ""Pasal 26 ayat (2)"",
    ""perbuatan_hukum_label"": ""mengajukan gugatan atas kerugian yang ditimbulkan"",
    ""perbuatan_hukum_detail"": """",
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 26"",
    ""ayat"": ""Pasal 26 ayat (3)"",
    ""perbuatan_hukum_label"": ""menghapus Informasi Elektronik dan/atau Dokumen Elektronik yang tidak relevan yang berada di bawah kendalinya"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 26"",
    ""ayat"": ""Pasal 26 ayat (4)"",
    ""perbuatan_hukum_label"": ""menyediakan mekanisme penghapusan Informasi Elektronik dan/atau Dokumen Elektronik yang sudah tidak relevan sesuai dengan ketentuan peraturan perundang-undangan"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 26"",
    ""ayat"": ""Pasal 26 ayat (5)"",
    ""perbuatan_hukum_label"": null,
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 27"",
    ""ayat"": null,
    ""perbuatan_hukum_label"": null,
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 31"",
    ""ayat"": ""Pasal 31 ayat (1)"",
    ""perbuatan_hukum_label"": ""melakukan intersepsi atau penyadapan atas Informasi Elektronik dan/atau Dokumen Elektronik dalam suatu Komputer dan/atau Sistem Elektronik tertentu milik Orang lain"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 31"",
    ""ayat"": ""Pasal 31 ayat (2)"",
    ""perbuatan_hukum_label"": ""melakukan intersepsi atas transmisi Informasi Elektronik dan/atau Dokumen Elektronik yang tidak bersifat publik dari, ke, dan di dalam suatu Komputer dan/atau Sistem Elektronik tertentu milik Orang lain"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 31"",
    ""ayat"": ""Pasal 31 ayat (3)"",
    ""perbuatan_hukum_label"": null,
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 31"",
    ""ayat"": ""Pasal 31 ayat (4)"",
    ""perbuatan_hukum_label"": null,
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 40"",
    ""ayat"": ""Pasal 40 ayat (1)"",
    ""perbuatan_hukum_label"": ""Fasilitasi pemanfaatan Teknologi Informasi"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 40"",
    ""ayat"": ""Pasal 40 ayat (2)"",
    ""perbuatan_hukum_label"": ""melindungi kepentingan umum dari segala jenis gangguan sebagai akibat penyalahgunaan Informasi Elektronik dan Transaksi Elektronik yang mengganggu ketertiban umum"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 40"",
    ""ayat"": ""Pasal 40 ayat (2a)"",
    ""perbuatan_hukum_label"": ""melakukan pencegahan penyebarluasan dan penggunaan Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan yang dilarang"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 40"",
    ""ayat"": ""Pasal 40 ayat (2b)"",
    ""perbuatan_hukum_label"": ""melakukan pemutusan akses dan/atau memerintahkan kepada Penyelenggara Sistem Elektronik untuk melakukan pemutusan akses terhadap Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan yang melanggar hukum"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 40"",
    ""ayat"": ""Pasal 40 ayat (3)"",
    ""perbuatan_hukum_label"": ""menetapkan instansi atau institusi yang memiliki data elektronik strategis yang wajib dilindungi"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 40"",
    ""ayat"": ""Pasal 40 ayat (4)"",
    ""perbuatan_hukum_label"": ""membuat Dokumen Elektronik dan rekam cadang elektroniknya serta menghubungkannya ke pusat data tertentu untuk kepentingan pengamanan data"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 40"",
    ""ayat"": ""Pasal 40 ayat (5)"",
    ""perbuatan_hukum_label"": ""membuat Dokumen Elektronik dan rekam cadang elektroniknya sesuai dengan keperluan perlindungan data yang dimilikinya"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 40"",
    ""ayat"": ""Pasal 40 ayat (6)"",
    ""perbuatan_hukum_label"": ""Ketentuan lebih lanjut mengenai peran Pemerintah diatur dengan Peraturan Pemerintah"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 43"",
    ""ayat"": ""Pasal 43 ayat (1)"",
    ""perbuatan_hukum_label"": ""diberi wewenang khusus sebagai penyidik untuk melakukan penyidikan tindak pidana di bidang Teknologi Informasi dan Transaksi Elektronik"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 43"",
    ""ayat"": ""Pasal 43 ayat (2)"",
    ""perbuatan_hukum_label"": ""melakukan penyidikan dengan memperhatikan perlindungan terhadap privasi, kerahasiaan, kelancaran layanan publik, integritas data, atau keutuhan data"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 43"",
    ""ayat"": ""Pasal 43 ayat (3)"",
    ""perbuatan_hukum_label"": ""melakukan penggeledahan dan/atau penyitaan terhadap sistem elektronik yang terkait dengan dugaan tindak pidana sesuai dengan ketentuan hukum acara pidana"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 43"",
    ""ayat"": ""Pasal 43 ayat (4)"",
    ""perbuatan_hukum_label"": ""wajib menjaga terpeliharanya kepentingan pelayanan umum dalam melakukan penggeledahan dan/atau penyitaan"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 43"",
    ""ayat"": ""Pasal 43 ayat (5)"",
    ""perbuatan_hukum_label"": ""melakukan wewenang penyidikan PPNS yang meliputi menerima laporan, memanggil pihak, memeriksa sarana, meminta bantuan ahli, dan meminta informasi kepada PSE"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 43"",
    ""ayat"": ""Pasal 43 ayat (6)"",
    ""perbuatan_hukum_label"": ""melakukan penangkapan dan penahanan terhadap pelaku tindak pidana di bidang Teknologi Informasi dan Transaksi Elektronik sesuai dengan ketentuan hukum acara pidana"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 43"",
    ""ayat"": ""Pasal 43 ayat (7)"",
    ""perbuatan_hukum_label"": ""berkoordinasi dengan Penyidik Pejabat Polisi Negara Republik Indonesia memberitahukan dimulainya penyidikan kepada Penuntut Umum melalui Penyidik Polisi"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 43"",
    ""ayat"": ""Pasal 43 ayat (7a)"",
    ""perbuatan_hukum_label"": ""menyampaikan hasil penyidikan kepada Penuntut Umum melalui Penyidik Pejabat Polisi Negara Republik Indonesia"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 43"",
    ""ayat"": ""Pasal 43 ayat (8)"",
    ""perbuatan_hukum_label"": ""dapat bekerja sama dengan penyidik negara lain untuk berbagi informasi dan alat bukti sesuai dengan ketentuan peraturan perundang-undangan"",
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 45"",
    ""ayat"": ""Pasal 45 ayat (1)"",
    ""perbuatan_hukum_label"": ""mendistribusikan dan/atau mentransmisikan dan/atau membuat dapat diaksesnya Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan yang melanggar kesusilaan"",
    ""perbuatan_hukum_detail"": """",
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 45"",
    ""ayat"": ""Pasal 45 ayat (2)"",
    ""perbuatan_hukum_label"": ""mendistribusikan dan/atau mentransmisikan dan/atau membuat dapat diaksesnya Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan perjudian"",
    ""perbuatan_hukum_detail"": """",
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 45"",
    ""ayat"": ""Pasal 45 ayat (3)"",
    ""perbuatan_hukum_label"": ""mendistribusikan dan/atau mentransmisikan dan/atau membuat dapat diaksesnya Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan penghinaan dan/atau pencemaran nama baik"",
    ""perbuatan_hukum_detail"": """",
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 45"",
    ""ayat"": ""Pasal 45 ayat (4)"",
    ""perbuatan_hukum_label"": ""mendistribusikan dan/atau mentransmisikan dan/atau membuat dapat diaksesnya Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan pemerasan dan/atau pengancaman"",
    ""perbuatan_hukum_detail"": """",
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 45"",
    ""ayat"": ""Pasal 45 ayat (5)"",
    ""perbuatan_hukum_label"": null,
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 45A"",
    ""ayat"": ""Pasal 45A ayat (1)"",
    ""perbuatan_hukum_label"": ""menyebarkan berita bohong dan menyesatkan yang mengakibatkan kerugian konsumen dalam Transaksi Elektronik"",
    ""perbuatan_hukum_detail"": """",
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 45A"",
    ""ayat"": ""Pasal 45A ayat (2)"",
    ""perbuatan_hukum_label"": ""menyebarkan informasi yang ditujukan untuk menimbulkan rasa kebencian atau permusuhan individu dan/atau kelompok masyarakat tertentu berdasarkan atas suku, agama, ras, dan antargolongan (SARA)"",
    ""perbuatan_hukum_detail"": """",
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 45B"",
    ""ayat"": null,
    ""perbuatan_hukum_label"": ""mengirimkan Informasi Elektronik dan/atau Dokumen Elektronik yang berisi ancaman kekerasan atau menakut-nakuti yang ditujukan secara pribadi"",
    ""perbuatan_hukum_detail"": ""mengirimkan Informasi Elektronik dan/atau Dokumen Elektronik yang berisi ancaman kekerasan atau menakut-nakuti yang ditujukan secara pribadi"",
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal 5"",
    ""ayat"": null,
    ""perbuatan_hukum_label"": null,
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  },
  {
    ""pasal"": ""Pasal II"",
    ""ayat"": null,
    ""perbuatan_hukum_label"": null,
    ""perbuatan_hukum_detail"": null,
    ""regulasi"": ""UU_19_2016""
  }
]"
UU_19_2016_E2E_V3_002,Bisa jelaskan secara umum apa isi dari UU 19 2016 tentang ITE?,Regulasi,"MATCH (r:Regulasi)-[:MEMUAT]->(b:Bab) WHERE r.source_document_id = 'UU_19_2016' OPTIONAL MATCH (b)-[:MEMUAT*1..2]->(p:Pasal) OPTIONAL MATCH (p)-[:MEMILIKI_AYAT]->(a:Ayat) RETURN r.label AS regulasi, b.label AS bab, p.label AS pasal, a.label AS ayat, r.source_document_id AS regulasi_id ORDER BY b.label, p.label, a.label LIMIT 300",True,,[],[]
